name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Sam Lafferty",29,F,Y,2000000,60,3.060000,0.000000,0.8152000,0.00086,-4.400000,-0.5239400000000005,-0.08732333333333342,-9.334668593238831,-1.5557780988731358
"Luke Glendening",35,F,Y,800000,77,2.456000,0.000000,3.4140000,0.38354,1.080000,7.33354,1.2222566666666668,-1.4771885932388313,-0.2461980988731356
"Hampus Lindholm",30,D,N,6500000,17,2.420000,0.180000,0.9740000,0.0066,0.560000,4.1406,0.6901,-4.6701285932388314,-0.7783547655398023
"Max Sasson",24,F,Y,870000,29,2.576000,0.000000,0.7992000,0,1.920000,5.2951999999999995,0.8825333333333333,-3.515528593238832,-0.5859214322064691
"Tyler Tucker",24,D,N,800000,38,2.388000,0.000000,2.4204000,0.0018000000000000002,-2.100000,2.7102,0.4517,-6.100528593238831,-1.0167547655398024
"Troy Stecher",30,D,N,787500,66,2.960000,0.000000,3.9500000,0.00136,-7.260000,-0.3486399999999996,-0.058106666666666605,-9.159368593238831,-1.526561432206469
"Colton Dach",21,F,Y,825000,25,2.332000,0.000000,0.7184000,0.0001,1.040000,4.0905000000000005,0.6817500000000001,-4.720228593238831,-0.7867047655398023
"Daniel Sprong",27,F,N,975000,30,2.160000,0.520000,0.2408000,0,0.600000,3.5208,0.5868,-5.289928593238832,-0.8816547655398024
"Vladislav Kolyachonok",23,D,N,775000,35,2.220000,0.000000,1.7264000,0.0006000000000000001,-3.400000,0.5470000000000002,0.09116666666666669,-8.263728593238831,-1.3772880988731357
"Justin Dowling",34,F,N,775000,52,2.444000,0.000000,1.2684000,0.00016,-0.120000,3.59256,0.5987600000000001,-5.218168593238831,-0.8696947655398023
"Jake Bean",26,D,N,1750000,64,3.036000,0.000000,2.5888000,0.00064,-0.160000,5.465439999999999,0.9109066666666665,-3.3452885932388323,-0.5575480988731358
"Calle Jarnkrok",33,F,N,2100000,19,1.464000,0.340000,0.5580000,0.00204,-0.080000,2.28404,0.38067333333333336,-6.526688593238831,-1.087781432206469
"Klim Kostin",25,F,N,2000000,35,1.948000,0.180000,0.9924000,0.00004,-2.780000,0.3404400000000001,0.05674000000000001,-8.47028859323883,-1.4117147655398024
"Emil Andrae",22,D,Y,903333,42,1.892000,0.540000,2.9584000,0.0006000000000000001,-3.520000,1.871,0.31183333333333335,-6.939728593238831,-1.156621432206469
"Christian Fischer",27,F,N,1125000,46,2.216000,0.000000,1.1048000,0.00134,2.020000,5.3421400000000006,0.8903566666666668,-3.468588593238831,-0.5780980988731356
"Parker Wotherspoon",27,D,N,800000,55,2.424000,0.000000,3.8696000,0.0026400000000000004,3.000000,9.296240000000001,1.5493733333333335,0.48551140676116944,0.08091856779353113
"Travis Hamonic",34,D,N,1100000,59,2.872000,0.000000,5.3572000,0.0031000000000000003,-2.620000,5.6123,0.9353833333333333,-3.198428593238831,-0.533071432206469
"Luke Schenn",35,D,N,2750000,76,2.952000,0.000000,6.3120000,0.00256,-3.380000,5.88656,0.9810933333333334,-2.9241685932388313,-0.487361432206469
"Ville Koivunen",21,F,N,805833,8,1.120000,0.540000,0.4804000,0,-0.080000,2.0604,0.3434,-6.750328593238832,-1.1250547655398024
"Haydn Fleury",28,D,N,775000,39,2.148000,0.000000,3.2352000,0.0026400000000000004,-2.040000,3.345840000000001,0.5576400000000001,-5.464888593238831,-0.9108147655398022
"Jacob Bryson",27,D,N,900000,48,1.860000,0.000000,2.9580000,0.0019,-1.480000,3.3398999999999996,0.55665,-5.470828593238831,-0.9118047655398024
"Nikita Nesterenko",23,F,N,874125,20,2.360000,0.000000,0.3904000,0.00004,0.600000,3.35044,0.5584066666666666,-5.460288593238832,-0.9100480988731358
"Jani Nyman",20,F,Y,891666,12,1.192000,0.860000,0.3892000,0,-0.080000,2.3611999999999997,0.3935333333333333,-6.449528593238831,-1.074921432206469
"Linus Karlsson",25,F,Y,775000,23,1.688000,0.520000,0.5508000,0,-0.120000,2.6388,0.43979999999999997,-6.171928593238832,-1.0286547655398024
"Jonathan Lekkerimaki",20,F,Y,918333,24,1.900000,0.360000,0.2944000,0,0.600000,3.1544,0.5257333333333333,-5.656328593238832,-0.9427214322064691
"Oliver Wahlstrom",24,F,N,1000000,43,2.504000,0.180000,1.7416000,0,-8.100000,-3.6743999999999994,-0.6123999999999999,-12.48512859323883,-2.080854765539802
