Group_1,Group_2,Total_Absolute_Difference
Gwen Stefani (Pop),One Direction (Pop),15.7119
Foster The People (Alternative),Mac DeMarco (Alternative),15.7335
Mariah Carey (Pop),Maroon 5 (Pop),15.769400000000001
5 Seconds of Summer (Pop),Céline Dion (Pop),15.778
Bastille (Alternative),Foster The People (Alternative),15.7987
Britney Spears (Pop),Foreigner (Pop),15.808
Red Hot Chili Peppers (Rock),The Cranberries (Rock),15.8255
Backstreet Boys (Pop),Billy Joel (Pop),15.8427
Bee Gees (Pop),Wisin & Yandel (Pop),15.850000000000001
5 Seconds of Summer (Pop),Wisin & Yandel (Pop),15.8807
Creedence Clearwater Revival (Rock),Nirvana (Rock),15.885000000000002
Pink Floyd (Rock),Scorpions (Rock),15.886099999999999
Evanescence (Rock),Pink Floyd (Rock),15.8952
Anu Malik (Pop),Ellie Goulding (Pop),15.914499999999997
Bee Gees (Pop),Eagles (Pop),15.9209
Amy Winehouse (Pop),The Beatles (Pop),15.9337
Amy Winehouse (Pop),Prince (Pop),15.938299999999998
Billy Joel (Rock),The Rolling Stones (Rock),15.9485
Maluma (Rap/Hip Hop),Nicky Jam (Rap/Hip Hop),15.949000000000002
Lady Gaga (Pop),Mariah Carey (Pop),15.9669
David Bowie (Pop),Enrique Iglesias (Pop),15.9776
Justin Timberlake (Pop),Maroon 5 (Pop),15.977700000000002
Bee Gees (Pop),Céline Dion (Pop),15.982299999999999
Fleetwood Mac (Rock),The Rolling Stones (Rock),15.9854
Billy Joel (Pop),Justin Timberlake (Pop),16.0224
Maluma (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),16.041999999999998
Black Eyed Peas (Pop),Britney Spears (Pop),16.0527
Ariana Grande (Pop),Céline Dion (Pop),16.061600000000002
Rex Orange County (Alternative),The Neighbourhood (Alternative),16.0619
Amy Winehouse (Pop),Maroon 5 (Pop),16.072699999999998
Billy Joel (Pop),Maroon 5 (Pop),16.0753
John Legend (R&B),Prince (R&B),16.083000000000002
Céline Dion (Pop),Metallica (Pop),16.107999999999997
Ariana Grande (Pop),Prince (Pop),16.1231
Bon Jovi (Rock),Scorpions (Rock),16.1616
Elton John (Pop),Mariah Carey (Pop),16.1648
Demi Lovato (Pop),Enrique Iglesias (Pop),16.1784
Justin Timberlake (Pop),Shakira (Pop),16.201000000000004
Mac DeMarco (Alternative),The Neighbourhood (Alternative),16.2185
Foreigner (Pop),Justin Timberlake (Pop),16.223100000000002
Billy Joel (Rock),David Bowie (Rock),16.241999999999997
Backstreet Boys (Pop),The Beatles (Pop),16.2474
Bon Jovi (Rock),Foreigner (Rock),16.2549
Ellie Goulding (Pop),Wisin & Yandel (Pop),16.2549
James Arthur (Pop),Pink Floyd (Pop),16.259
Christina Aguilera (Pop),Pink Floyd (Pop),16.289
Nelly Furtado (Pop),Whitney Houston (Pop),16.2909
AC/DC (Rock),The Cranberries (Rock),16.306600000000003
Backstreet Boys (Pop),Black Eyed Peas (Pop),16.3101
Elvis Presley (Pop),James Arthur (Pop),16.313499999999998
Amy Winehouse (Pop),Mariah Carey (Pop),16.3279
Bon Jovi (Rock),Pink Floyd (Rock),16.3461
Aerosmith (Rock),Pink Floyd (Rock),16.349199999999996
George Michael (Pop),Luis Miguel (Pop),16.3509
Bee Gees (Pop),Britney Spears (Pop),16.3568
Elvis Presley (Pop),George Michael (Pop),16.3718
Creedence Clearwater Revival (Rock),blink-182 (Rock),16.3731
Nirvana (Rock),Pink Floyd (Rock),16.407799999999998
Meghan Trainor (Pop),Nelly Furtado (Pop),16.418799999999997
Anu Malik (Pop),Enrique Iglesias (Pop),16.424500000000002
Aerosmith (Rock),The Beatles (Rock),16.4263
Bryan Adams (Rock),blink-182 (Rock),16.4403
Arcángel (Latin Music),Fuerza Regida (Latin Music),16.444699999999997
Eagles (Pop),Elton John (Pop),16.4715
Amy Winehouse (Pop),Christina Aguilera (Pop),16.4985
Elvis Presley (Pop),Luis Miguel (Pop),16.500700000000002
Creedence Clearwater Revival (Rock),Pink Floyd (Rock),16.502999999999997
